GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
0100000US,,United States,1600000US0883835,0883835,United States - Colorado - Westminster city,Westminster city,5.1,1.9
0100000US,,United States,0400000US09,09,United States - Connecticut,Connecticut,4.7,0.3
0100000US,,United States,1600000US0908000,0908000,United States - Connecticut - Bridgeport city,Bridgeport city,9.4,2.6
0100000US,,United States,1600000US0918430,0918430,United States - Connecticut - Danbury city,Danbury city,3.5,1.7
0100000US,,United States,1600000US0937000,0937000,United States - Connecticut - Hartford city,Hartford city,20.5,2.8
0100000US,,United States,1600000US0950370,0950370,United States - Connecticut - New Britain city,New Britain city,2.5,1.4
0100000US,,United States,1600000US0952000,0952000,United States - Connecticut - New Haven city,New Haven city,12.9,2.5
0100000US,,United States,1600000US0955990,0955990,United States - Connecticut - Norwalk city,Norwalk city,7.8,2.7
0100000US,,United States,1600000US0973000,0973000,United States - Connecticut - Stamford city,Stamford city,11.8,2.2
0100000US,,United States,1600000US0980000,0980000,United States - Connecticut - Waterbury city,Waterbury city,3.1,1.5
0100000US,,United States,0400000US10,10,United States - Delaware,Delaware,3.3,0.5
0100000US,,United States,1600000US1077580,1077580,United States - Delaware - Wilmington city,Wilmington city,10.0,3.4
0100000US,,United States,0400000US11,11,United States - District of Columbia,District of Columbia,39.6,1.6
0100000US,,United States,1600000US1150000,1150000,United States - District of Columbia - Washington city,Washington city,39.6,1.6
0100000US,,United States,0400000US12,12,United States - Florida,Florida,2.1,0.1
0100000US,,United States,1600000US1200410,1200410,United States - Florida - Alafaya CDP,Alafaya CDP,N,N
0100000US,,United States,1600000US1207300,1207300,United States - Florida - Boca Raton city,Boca Raton city,0.9,0.7
0100000US,,United States,1600000US1207875,1207875,United States - Florida - Boynton Beach city,Boynton Beach city,2.2,1.9
0100000US,,United States,1600000US1208150,1208150,United States - Florida - Brandon CDP,Brandon CDP,0.3,0.3
0100000US,,United States,1600000US1210275,1210275,United States - Florida - Cape Coral city,Cape Coral city,0.0,0.4
0100000US,,United States,1600000US1212875,1212875,United States - Florida - Clearwater city,Clearwater city,2.1,1.3
0100000US,,United States,1600000US1214400,1214400,United States - Florida - Coral Springs city,Coral Springs city,0.7,0.6
0100000US,,United States,1600000US1216475,1216475,United States - Florida - Davie town,Davie town,1.4,1.1
0100000US,,United States,1600000US1216725,1216725,United States - Florida - Deerfield Beach city,Deerfield Beach city,2.1,1.3
0100000US,,United States,1600000US1217200,1217200,United States - Florida - Deltona city,Deltona city,N,N
0100000US,,United States,1600000US1224000,1224000,United States - Florida - Fort Lauderdale city,Fort Lauderdale city,4.1,1.5
0100000US,,United States,1600000US1224125,1224125,United States - Florida - Fort Myers city,Fort Myers city,3.5,2.3
0100000US,,United States,1600000US1225175,1225175,United States - Florida - Gainesville city,Gainesville city,7.7,2.0
0100000US,,United States,1600000US1230000,1230000,United States - Florida - Hialeah city,Hialeah city,1.8,0.7
0100000US,,United States,1600000US1232000,1232000,United States - Florida - Hollywood city,Hollywood city,3.7,1.6
0100000US,,United States,1600000US1235000,1235000,United States - Florida - Jacksonville city,Jacksonville city,2.3,0.5
0100000US,,United States,1600000US1236100,1236100,United States - Florida - Kendall CDP,Kendall CDP,6.2,3.8
0100000US,,United States,1600000US1238250,1238250,United States - Florida - Lakeland city,Lakeland city,0.8,0.9
0100000US,,United States,1600000US1239425,1239425,United States - Florida - Largo city,Largo city,0.9,0.7
0100000US,,United States,1600000US1239550,1239550,United States - Florida - Lauderhill city,Lauderhill city,6.7,3.4
0100000US,,United States,1600000US1239925,1239925,United States - Florida - Lehigh Acres CDP,Lehigh Acres CDP,N,N
0100000US,,United States,1600000US1243975,1243975,United States - Florida - Melbourne city,Melbourne city,0.2,0.3
0100000US,,United States,1600000US1245000,1245000,United States - Florida - Miami city,Miami city,10.3,1.7
0100000US,,United States,1600000US1245025,1245025,United States - Florida - Miami Beach city,Miami Beach city,12.2,3.8
0100000US,,United States,1600000US1245060,1245060,United States - Florida - Miami Gardens city,Miami Gardens city,7.3,2.3
0100000US,,United States,1600000US1245975,1245975,United States - Florida - Miramar city,Miramar city,6.5,3.4
0100000US,,United States,1600000US1253000,1253000,United States - Florida - Orlando city,Orlando city,6.3,1.6
0100000US,,United States,1600000US1254000,1254000,United States - Florida - Palm Bay city,Palm Bay city,N,N
